code,name,price,open,change_pct,volume,market_cap,market
6767,台微醫,29.05,29.85,0.17,36015,1138284421,OTC
6785,昱展新藥,267.5,263.0,1.71,123031,17869000000,OTC
6788,華景電,300.0,301.5,-0.33,269521,11621905200,OTC
6791,虎門科技,101.0,103.0,-1.94,71011,2105547000,OTC
6803,崑鼎,300.0,297.0,0.0,48300,21795772500,OTC
6804,明係,16.8,16.75,0.3,154000,797999963,OTC
6811,宏碁資訊,209.0,210.5,-0.71,75036,8662841000,OTC
6821,聯寶,37.7,37.3,0.27,93000,1147138940,OTC
6823,濾能,59.2,60.1,-2.15,231237,1804444143,OTC
6829,千附精密,106.5,106.5,-0.93,140100,6301498500,OTC
6840,東研信超,60.8,60.7,-1.46,244050,1843055304,OTC
6841,長佳智能,65.6,66.0,-0.61,738038,6196444655,OTC
6843,進典,48.15,48.4,-2.33,9005,1603587650,OTC
6844,諾貝兒,64.0,64.0,-1.23,9000,2395420160,OTC
6846,綠茵,73.0,73.2,0.0,7000,1971687587,OTC
6855,數泓科,122.0,108.0,4.72,56040,2836465352,OTC
6856,鑫傳,56.8,54.8,0.0,11000,1601759978,OTC
6859,伯特光,109.5,108.0,2.34,68000,4540965000,OTC
6865,偉康科技,41.6,42.4,-5.13,27014,650214049,OTC
6870,騰雲,198.0,193.0,2.86,88020,4622864400,OTC
6874,倍力,67.3,70.8,-2.46,46001,1451122665,OTC
6875,國邑*,41.8,42.25,-1.07,120042,5395811588,OTC
6877,鏵友益,81.5,81.0,0.0,161300,3795210500,OTC
6894,衛司特,235.5,239.5,0.0,136000,5604900000,OTC
6895,宏碩系統,169.0,170.5,-0.88,63000,5762900000,OTC
6899,創為精密,51.5,51.3,-0.96,9000,2157772338,OTC
6904,伯鑫,125.0,124.0,0.81,8000,2312500000,OTC
6922,宸曜,164.0,162.0,0.61,97080,4453483140,OTC
6929,佑全,32.35,32.0,-1.37,6067,1451010656,OTC
6953,家碩,220.5,219.0,-0.68,38100,6618219300,OTC
7402,邑錡,122.0,121.5,2.52,657200,4297989362,OTC
7556,意德士,168.5,170.0,0.0,26064,4489998943,OTC
8024,佑華,13.0,13.3,0.39,28001,587080000,OTC
8027,鈦昇,89.1,92.0,-3.47,2824398,9294513920,OTC
8032,光菱,37.35,37.0,2.33,168223,1935103420,OTC
8034,榮群,23.6,23.75,1.72,570103,1327090655,OTC
8038,長園科,43.05,43.0,-1.49,891102,2681076031,OTC
8040,九暘,47.05,46.45,2.28,196001,4536278626,OTC
8042,金山電,56.0,55.7,1.27,1490393,7249902744,OTC
8043,蜜望實,69.0,69.3,-0.86,1404741,5513583000,OTC
8044,網家,27.9,27.75,1.82,521002,5703236063,OTC
8047,星雲,46.9,47.45,-1.26,55000,1954149533,OTC
8048,德勝,55.9,55.8,0.72,485248,3225751624,OTC
8049,晶采,26.5,26.45,0.0,101392,3134414700,OTC
8050,廣積,41.55,42.1,-1.66,347578,8275847202,OTC
8054,安國,120.5,125.0,-2.43,3170640,12745594203,OTC
8059,凱碩,18.85,18.85,-2.08,560094,3654506123,OTC
8064,東捷,45.7,45.5,-2.45,2480502,7532182725,OTC
8066,來思達,20.1,20.05,0.25,51003,597783438,OTC
8067,志旭,15.55,15.55,-0.64,2000,321885003,OTC
8068,全達,23.4,23.6,1.3,529000,1889924369,OTC
8069,元太,189.5,186.0,2.43,8836203,218092358630,OTC
8071,能率網通,17.25,17.45,-0.29,187380,1036453899,OTC
8074,鉅橡,61.2,59.2,3.55,4354925,4955670061,OTC
8076,伍豐,22.75,22.75,0.0,383596,6647859218,OTC
8077,洛碁,45.5,44.9,-0.66,6000,998529350,OTC
8080,印鉐,30.75,29.8,2.33,80213,2065287526,OTC
8083,瑞穎,176.0,176.5,0.28,55015,6183441968,OTC
8084,巨虹,53.1,53.0,0.19,106030,3691201258,OTC
8085,福華,17.35,17.4,-0.86,404258,2428705103,OTC
8086,宏捷科,111.0,116.0,-4.31,3229593,21813289653,OTC
8087,華鎂鑫,27.8,27.8,9.88,60000,1061552506,OTC
8088,品安,50.0,50.2,-4.21,3997937,3046100000,OTC
8089,康全電訊,25.75,26.25,-1.15,264752,1699480713,OTC
8091,翔名,132.5,134.0,-1.12,167100,6801637605,OTC
8092,建暐,14.15,14.25,0.35,68002,808988023,OTC
8093,保銳,19.25,19.25,0.0,20860,703925684,OTC
8096,擎亞,64.7,60.6,1.09,1851264,9662491644,OTC
8097,常珵,56.2,55.9,-0.18,145710,3501398805,OTC
8099,大世科,70.1,66.6,3.55,1296369,7015103057,OTC
8107,大億金茂,14.7,15.0,-2.0,94003,1102499985,OTC
8109,博大,106.5,106.5,0.0,235031,8750171634,OTC
8111,立碁,65.2,67.5,-3.26,2783844,7113450067,OTC
8121,越峰,26.2,26.85,-2.06,416030,5580436229,OTC
8147,正淩,129.0,128.0,0.0,842901,5299191000,OTC
8155,博智,208.0,213.0,-2.8,1038299,11599650400,OTC
8171,天宇,27.5,27.45,-0.72,112003,3066805500,OTC
8176,智捷,10.8,10.9,-1.82,159002,745988413,OTC
8182,加高,26.75,26.85,-0.37,63005,2863346750,OTC
8183,精星,32.7,32.9,-0.61,197300,3948557792,OTC
8227,巨有科技,136.5,139.5,-2.15,238136,5397619500,OTC
8234,新漢,69.6,67.5,2.2,779194,9829362235,OTC
8240,華宏,39.0,38.9,0.26,222031,3900172146,OTC
8255,朋程,124.0,126.5,-1.59,291341,12622828000,OTC
8277,商丞,8.95,9.01,-1.54,378943,820078046,OTC
8279,生展,121.0,122.0,-0.82,40122,3279221000,OTC
8284,三竹,63.0,63.0,0.16,10000,2919546000,OTC
8289,泰藝,27.2,27.35,-2.86,715367,1858684852,OTC
8291,尚茂,17.1,17.1,0.0,0,298881501,OTC
8299,群聯,1855.0,1795.0,1.64,5646629,386034775000,OTC
8342,益張,87.9,88.2,2.21,20000,2947875365,OTC
8349,恒耀,42.7,42.65,-0.93,133397,8916673512,OTC
8354,冠好,15.4,15.4,0.0,26010,1209396820,OTC
8358,金居,270.0,258.0,4.65,2937839,68172570000,OTC
8383,千附,40.6,40.6,-0.25,229107,4580045227,OTC
8390,金益鼎,103.5,107.5,-2.82,2643998,9948019248,OTC
8401,白紗科,28.85,28.9,0.0,73001,2038802321,OTC
8403,盛弘,23.35,23.4,-0.21,117091,3213902038,OTC
8409,商之器,20.7,20.8,2.22,7003,662400024,OTC
8410,森田,37.6,37.45,-0.13,5000,1375753864,OTC
8415,大國鋼,34.45,34.5,0.15,170123,34823783271,OTC
8416,實威,176.5,177.0,-0.28,11010,4979241500,OTC
8421,旭源,13.35,13.05,0.75,170000,714854339,OTC
8423,保綠-KY,18.75,18.55,1.08,10000,782138025,OTC
8424,惠普,73.1,73.1,0.0,6002,2635620444,OTC
8426,紅木-KY,27.45,27.7,-0.18,29000,1379170388,OTC
8431,匯鑽科,59.9,59.4,0.67,889597,2830594339,OTC
